Source,Dataset,Source Variable name,Label,Sbx Name,(TITLE?),Short Name,Long Name,Short Description ,Measure Definition,Relationships
FRED (St. Louis),series/GDP,observation_date,,Observation Period,,Quaterly Observation,Quaterly Observation,,,
FRED (St. Louis),series/GDP,GDP,,GDP,,Gross Domestic Product,Gross Domestic Product,,"Gross domestic product (GDP), the featured measure of U.S. output, is the market value of the goods and services produced by labor and property located in the United States.",
FRED (St. Louis),series/CPIAUCSL,observation_date,,Observation Period,,Monthly Observation,Monthly Observation,,,
FRED (St. Louis),series/CPIAUCSL,CPIAUCSL,,CPI,,Consumer Price Index U6,Consumer Price Index for All Urban Consumers - Seasonally Adjusted,,"Measure of the average monthly change in the price for goods and services paid by urban consumers. This particular index includes roughly 88 percent of the total population, accounting for wage earners, clerical workers, technical workers, self-employed, short-term workers, unemployed, retirees, and those not in the labor force. ",
FRED (St. Louis),series/UNRATE,observation_date,,Observation Period,,Monthly Observation,Monthly Observation,,,
FRED (St. Louis),series/UNRATE,UNRATE,,Unemployment Rate,,Civilian Unemployment Rate,Civilian Unemployment Rate,,"The unemployment rate represents the number of unemployed as a percentage of the labor force.  Labor force data are restricted to people 16 years of age and older, who currently reside in 1 of the 50 states or the District of Columbia, who do not reside in institutions (e.g., penal and mental facilities, homes for the aged), and who are not on active duty in the Armed Forces. (U-3 measure of labor underutilization).
",
FRED (St. Louis),series/PCECC96,observation_date,,Observation Period,,Quaterly Observation,Quaterly Observation,,,
FRED (St. Louis),series/PCECC96,PCECC96,,Real Personal Consumption Expenditures,,"Real Personal Consumption Expenditures, Billions","Real Personal Consumption Expenditures, Billions of Chained 2009 Dollars, Quarterly, Seasonally Adjusted Annual Rate",,"Personal consumption expenditures (PCE) measures goods and services purchased by U.S. residents. PCE consists mainly of purchases of new goods
and of services by individuals from private business. In addition, PCE includes purchases of new goods and of services by nonprofit institutions (including compensation
of employees), net purchases of used goods by individuals and nonprofit institutions, and purchases abroad of goods and services by U.S. residents.  PCE also includes purchases of certain goods and services provided by general government and government enterprises, such as tuition payments for higher education, charges for medical care, and charges for water and other sanitary services. ",
FRED (St. Louis),series/GCEC1,observation_date,,Observation Period,,Quaterly Observation,Quaterly Observation,,,
FRED (St. Louis),series/GCEC1,GCEC1,,Real Government Consumption Expenditures,,"Real Government Consumption Expenditures and Gross Investment, Billions ","Real Government Consumption Expenditures and Gross Investment, Billions of Chained 2009 Dollars, Quarterly, Seasonally Adjusted Annual Rate",,"Government consumption expenditures and gross investment , the measure of government sector final demand, consists of two major components: Current consumption expenditures by general government and gross investment by both general government and government enterprises.  Consumption expenditures consists of the goods and services that are produced by general government, less sales to other sectors and own-account investment.      Gross investment consists of purchases of new structures and of equipment and software by both general government and government enterprises, net purchases of used structures and equipment, and own-account production of structures and of software. ",
FRED (St. Louis),series/GPDIC1,observation_date,,Observation Period,,Quaterly Observation,Quaterly Observation,,,
FRED (St. Louis),series/GPDIC1,GPDIC1,,Real Gross Private Domestic Investment,,"Real Gross Private Domestic Investment, Billions ","Real Gross Private Domestic Investment, Billions of Chained 2009 Dollars, Quarterly, Seasonally Adjusted Annual Rate",,"Gross private domestic investment consists of fixed investment and the change in private inventories. Fixed investment consists of both nonresidential
and residential fixed investment. It is measured without a deduction for CFC and includes replacements and additions to the capital stock. It covers all investment in fixed assets by private businesses and by nonprofit institutions in the U.S., regardless of whether the fixed asset is owned by U.S. residents.  It excludes investment by U.S. residents in other countries.Nonresidential fixed investment consists of both structures (1–22) and equipment and software (1–23). ",
FRED (St. Louis),series/UMCSENT,observation_date,,Observation Period,,Monthly Observation,Monthly Observation,,,
FRED (St. Louis),series/UMCSENT,UMCSENT,,Consumer Sentiment,, Consumer Sentiment,University Of Michigan: Consumer Sentiment,," Index of Consumer Sentiment (ICS) is derived a forumla based on from the following five questions: ""... that you (and your family living there) are better off or worse off financially than you were a year ago?""; ""...   a year from now you (and your family living there) will be better off financially, or worse off, or just about the same as now?""; 
 ""... country as a whole--do you think that during the next twelve months we'll have good times financially, or bad times, or what?"";  ""Looking ahead, which would you say is more likely--that in the country as a whole we'll have continuous good times during the next five years or so, or that we will have periods of widespread unemployment or depression, or what?"";  ""About the big things people buy for their homes--such as furniture, a refrigerator, stove, television, and things like that. Generally speaking, do you think now is a good or bad time for people to buy major household items?"".  See document for calculations.
",
FRED (St. Louis),series/MICH,observation_date,,Observation Period,,Monthly Observation,Monthly Observation,,,
FRED (St. Louis),series/MICH,MICH,,Consumer Inflation Expectation,,Consumer Inflation Expectation ,University Of Michigan: Consumer Inflation Expectation ,,"Based on survey question and tracked over time.  ""During the next 12 months, do you think that prices in general will go up, or go down,
or stay where they are now?"" and ""By about what percent do you expect prices to go (up/down), on the
average, during the next 12 months?""",
